iso3,year,specimen,pathogen,antibiotic,path.label,antibiotic.label,tot,ast,sus,int,res,unk,p.sus,p.int,p.res,p.unk
ARE,2017,BLOOD,ACISPP,J01AA,Acinetobacter spp.,Tetracyclines,75,48,30,6,12,27,62.5,12.5,25,36
ARE,2017,BLOOD,ACISPP,J01DH,Acinetobacter spp.,Carbapenems,75,69,38,1,30,6,55.07,1.45,43.48,8
ARE,2017,BLOOD,ACISPP,MEM,Acinetobacter spp.,Meropenem,75,68,39,0,29,7,57.35,0,42.65,9.33
ARE,2017,BLOOD,ACISPP,MNO,Acinetobacter spp.,Minocycline,75,35,22,6,7,40,62.86,17.14,20,53.33
ARE,2017,BLOOD,ESCCOL,AMP,E. coli,Ampicillin,726,623,138,8,477,103,22.15,1.28,76.57,14.19
ARE,2017,BLOOD,ESCCOL,CAZ,E. coli,Ceftazidime,726,633,420,12,201,93,66.35,1.9,31.75,12.81
ARE,2017,BLOOD,ESCCOL,CIP,E. coli,Ciprofloxacin,726,628,319,5,304,98,50.8,0.8,48.41,13.5
ARE,2017,BLOOD,ESCCOL,COL,E. coli,Colistin,726,31,31,0,0,695,100,0,0,95.73
ARE,2017,BLOOD,ESCCOL,CRO,E. coli,Ceftriaxone,726,136,64,1,71,590,47.06,0.74,52.21,81.27
ARE,2017,BLOOD,ESCCOL,CTX,E. coli,Cefotaxime,726,532,274,4,254,194,51.5,0.75,47.74,26.72
ARE,2017,BLOOD,ESCCOL,ETP,E. coli,Ertapenem,726,357,345,1,11,369,96.64,0.28,3.08,50.83
ARE,2017,BLOOD,ESCCOL,FEP,E. coli,Cefepime,726,457,303,56,98,269,66.3,12.25,21.44,37.05
ARE,2017,BLOOD,ESCCOL,IPM,E. coli,Imipenem,726,620,607,4,9,106,97.9,0.65,1.45,14.6
ARE,2017,BLOOD,ESCCOL,J01DD,E. coli,Third-generation cephalosporins,726,672,345,4,323,54,51.34,0.6,48.07,7.44
ARE,2017,BLOOD,ESCCOL,J01DH,E. coli,Carbapenems,726,644,625,4,15,82,97.05,0.62,2.33,11.29
ARE,2017,BLOOD,ESCCOL,J01MA,E. coli,Fluoroquinolones,726,655,339,5,311,71,51.76,0.76,47.48,9.78
ARE,2017,BLOOD,ESCCOL,LVX,E. coli,Levofloxacin,726,31,22,0,9,695,70.97,0,29.03,95.73
ARE,2017,BLOOD,ESCCOL,MEM,E. coli,Meropenem,726,639,628,1,10,87,98.28,0.16,1.56,11.98
ARE,2017,BLOOD,ESCCOL,SXT,E. coli,Co-trimoxazole,726,634,292,0,342,92,46.06,0,53.94,12.67
ARE,2017,BLOOD,KLEPNE,CAZ,K. pneumoniae,Ceftazidime,555,495,335,20,140,60,67.68,4.04,28.28,10.81
ARE,2017,BLOOD,KLEPNE,CIP,K. pneumoniae,Ciprofloxacin,555,486,354,16,116,69,72.84,3.29,23.87,12.43
ARE,2017,BLOOD,KLEPNE,COL,K. pneumoniae,Colistin,555,41,31,3,7,514,75.61,7.32,17.07,92.61
ARE,2017,BLOOD,KLEPNE,CRO,K. pneumoniae,Ceftriaxone,555,119,62,0,57,436,52.1,0,47.9,78.56
ARE,2017,BLOOD,KLEPNE,CTX,K. pneumoniae,Cefotaxime,555,396,266,5,125,159,67.17,1.26,31.57,28.65
ARE,2017,BLOOD,KLEPNE,ETP,K. pneumoniae,Ertapenem,555,259,229,1,29,296,88.42,0.39,11.2,53.33
ARE,2017,BLOOD,KLEPNE,FEP,K. pneumoniae,Cefepime,555,353,263,9,81,202,74.5,2.55,22.95,36.4
ARE,2017,BLOOD,KLEPNE,IPM,K. pneumoniae,Imipenem,555,476,411,18,47,79,86.34,3.78,9.87,14.23
ARE,2017,BLOOD,KLEPNE,J01DD,K. pneumoniae,Third-generation cephalosporins,555,521,323,9,189,34,62,1.73,36.28,6.13
ARE,2017,BLOOD,KLEPNE,J01DH,K. pneumoniae,Carbapenems,555,497,424,4,69,58,85.31,0.8,13.88,10.45
ARE,2017,BLOOD,KLEPNE,J01MA,K. pneumoniae,Fluoroquinolones,555,511,373,16,122,44,72.99,3.13,23.87,7.93
ARE,2017,BLOOD,KLEPNE,LVX,K. pneumoniae,Levofloxacin,555,32,19,0,13,523,59.38,0,40.63,94.23
ARE,2017,BLOOD,KLEPNE,MEM,K. pneumoniae,Meropenem,555,495,431,1,63,60,87.07,0.2,12.73,10.81
ARE,2017,BLOOD,KLEPNE,SXT,K. pneumoniae,Co-trimoxazole,555,496,334,0,162,59,67.34,0,32.66,10.63
ARE,2017,BLOOD,SALSPP,CAZ,Salmonella spp.,Ceftazidime,91,67,67,0,0,24,100,0,0,26.37
ARE,2017,BLOOD,SALSPP,CIP,Salmonella spp.,Ciprofloxacin,91,69,27,16,26,22,39.13,23.19,37.68,24.18
ARE,2017,BLOOD,SALSPP,CRO,Salmonella spp.,Ceftriaxone,91,40,39,0,1,51,97.5,0,2.5,56.04
ARE,2017,BLOOD,SALSPP,ETP,Salmonella spp.,Ertapenem,91,41,41,0,0,50,100,0,0,54.95
ARE,2017,BLOOD,SALSPP,IPM,Salmonella spp.,Imipenem,91,66,66,0,0,25,100,0,0,27.47
ARE,2017,BLOOD,SALSPP,J01DD,Salmonella spp.,Third-generation cephalosporins,91,88,85,1,2,3,96.59,1.14,2.27,3.3
ARE,2017,BLOOD,SALSPP,J01MA,Salmonella spp.,Fluoroquinolones,91,78,28,16,34,13,35.9,20.51,43.59,14.29
ARE,2017,BLOOD,SALSPP,LVX,Salmonella spp.,Levofloxacin,91,14,3,2,9,77,21.43,14.29,64.29,84.62
ARE,2017,BLOOD,SALSPP,MEM,Salmonella spp.,Meropenem,91,71,71,0,0,20,100,0,0,21.98
ARE,2017,BLOOD,STAAUR,OXA,S. aureus,Oxacillin,419,364,240,0,124,55,65.93,0,34.07,13.13
ARE,2017,BLOOD,STRPNE,CRO,S. pneumoniae,Ceftriaxone,116,80,74,6,0,36,92.5,7.5,0,31.03
ARE,2017,BLOOD,STRPNE,CTX,S. pneumoniae,Cefotaxime,116,29,28,0,1,87,96.55,0,3.45,75
ARE,2017,BLOOD,STRPNE,J01DD,S. pneumoniae,Third-generation cephalosporins,116,81,75,5,1,35,92.59,6.17,1.23,30.17
ARE,2017,BLOOD,STRPNE,PEN,S. pneumoniae,Penicillin G,116,66,46,0,20,50,69.7,0,30.3,43.1
ARE,2017,BLOOD,STRPNE,SXT,S. pneumoniae,Co-trimoxazole,116,59,29,18,12,57,49.15,30.51,20.34,49.14
ARE,2017,GENITAL,NEIGON,AZM,N. gonorrhoeae,Azithromycin,86,19,19,0,0,67,100,0,0,77.91
ARE,2017,GENITAL,NEIGON,CIP,N. gonorrhoeae,Ciprofloxacin,86,67,10,5,52,19,14.93,7.46,77.61,22.09
ARE,2017,GENITAL,NEIGON,CRO,N. gonorrhoeae,Ceftriaxone,86,51,48,0,3,35,94.12,0,5.88,40.7
ARE,2017,GENITAL,NEIGON,SPT,N. gonorrhoeae,Spectinomycin,86,29,29,0,0,57,100,0,0,66.28
ARE,2017,STOOL,SALSPP,CAZ,Salmonella spp.,Ceftazidime,585,334,323,1,10,251,96.71,0.3,2.99,42.91
ARE,2017,STOOL,SALSPP,CIP,Salmonella spp.,Ciprofloxacin,585,468,325,98,45,117,69.44,20.94,9.62,20
ARE,2017,STOOL,SALSPP,CRO,Salmonella spp.,Ceftriaxone,585,227,221,2,4,358,97.36,0.88,1.76,61.2
ARE,2017,STOOL,SALSPP,CTX,Salmonella spp.,Cefotaxime,585,278,266,1,11,307,95.68,0.36,3.96,52.48
ARE,2017,STOOL,SALSPP,ETP,Salmonella spp.,Ertapenem,585,265,264,1,0,320,99.62,0.38,0,54.7
ARE,2017,STOOL,SALSPP,IPM,Salmonella spp.,Imipenem,585,322,321,1,0,263,99.69,0.31,0,44.96
ARE,2017,STOOL,SALSPP,J01DD,Salmonella spp.,Third-generation cephalosporins,585,508,489,3,16,77,96.26,0.59,3.15,13.16
ARE,2017,STOOL,SALSPP,J01MA,Salmonella spp.,Fluoroquinolones,585,473,329,99,45,112,69.56,20.93,9.51,19.15
ARE,2017,STOOL,SALSPP,LVX,Salmonella spp.,Levofloxacin,585,40,29,8,3,545,72.5,20,7.5,93.16
ARE,2017,STOOL,SALSPP,MEM,Salmonella spp.,Meropenem,585,334,334,0,0,251,100,0,0,42.91
ARE,2017,STOOL,SHISPP,CAZ,Shigella spp.,Ceftazidime,68,32,30,0,2,36,93.75,0,6.25,52.94
ARE,2017,STOOL,SHISPP,CIP,Shigella spp.,Ciprofloxacin,68,58,49,1,8,10,84.48,1.72,13.79,14.71
ARE,2017,STOOL,SHISPP,CRO,Shigella spp.,Ceftriaxone,68,37,27,0,10,31,72.97,0,27.03,45.59
ARE,2017,STOOL,SHISPP,CTX,Shigella spp.,Cefotaxime,68,23,15,0,8,45,65.22,0,34.78,66.18
ARE,2017,STOOL,SHISPP,J01DD,Shigella spp.,Third-generation cephalosporins,68,60,43,0,17,8,71.67,0,28.33,11.76
ARE,2017,STOOL,SHISPP,J01MA,Shigella spp.,Fluoroquinolones,68,59,50,1,8,9,84.75,1.69,13.56,13.24
ARE,2017,STOOL,SHISPP,LVX,Shigella spp.,Levofloxacin,68,12,11,0,1,56,91.67,0,8.33,82.35
ARE,2017,URINE,ESCCOL,AMP,E. coli,Ampicillin,10445,8982,3028,85,5869,1463,33.71,0.95,65.34,14.01
ARE,2017,URINE,ESCCOL,CAZ,E. coli,Ceftazidime,10445,8798,7054,101,1643,1647,80.18,1.15,18.67,15.77
ARE,2017,URINE,ESCCOL,CIP,E. coli,Ciprofloxacin,10445,9554,6298,67,3189,891,65.92,0.7,33.38,8.53
ARE,2017,URINE,ESCCOL,COL,E. coli,Colistin,10445,59,59,0,0,10386,100,0,0,99.44
ARE,2017,URINE,ESCCOL,CRO,E. coli,Ceftriaxone,10445,2477,1634,11,832,7968,65.97,0.44,33.59,76.29
ARE,2017,URINE,ESCCOL,CTX,E. coli,Cefotaxime,10445,6524,4393,45,2086,3921,67.34,0.69,31.97,37.54
ARE,2017,URINE,ESCCOL,ETP,E. coli,Ertapenem,10445,4476,4437,4,35,5969,99.13,0.09,0.78,57.15
ARE,2017,URINE,ESCCOL,FEP,E. coli,Cefepime,10445,6533,5365,416,752,3912,82.12,6.37,11.51,37.45
ARE,2017,URINE,ESCCOL,IPM,E. coli,Imipenem,10445,8670,8609,17,44,1775,99.3,0.2,0.51,16.99
ARE,2017,URINE,ESCCOL,J01DD,E. coli,Third-generation cephalosporins,10445,8959,5954,55,2950,1486,66.46,0.61,32.93,14.23
ARE,2017,URINE,ESCCOL,J01DH,E. coli,Carbapenems,10445,9098,8997,33,68,1347,98.89,0.36,0.75,12.9
ARE,2017,URINE,ESCCOL,J01MA,E. coli,Fluoroquinolones,10445,9683,6369,67,3247,762,65.78,0.69,33.53,7.3
ARE,2017,URINE,ESCCOL,LVX,E. coli,Levofloxacin,10445,790,586,3,201,9655,74.18,0.38,25.44,92.44
ARE,2017,URINE,ESCCOL,MEM,E. coli,Meropenem,10445,9075,9012,17,46,1370,99.31,0.19,0.51,13.12
ARE,2017,URINE,ESCCOL,SXT,E. coli,Co-trimoxazole,10445,9950,5842,7,4101,495,58.71,0.07,41.22,4.74
ARE,2017,URINE,KLEPNE,CAZ,K. pneumoniae,Ceftazidime,3113,2653,1990,114,549,460,75.01,4.3,20.69,14.78
ARE,2017,URINE,KLEPNE,CIP,K. pneumoniae,Ciprofloxacin,3113,2829,2305,96,428,284,81.48,3.39,15.13,9.12
ARE,2017,URINE,KLEPNE,COL,K. pneumoniae,Colistin,3113,82,67,1,14,3031,81.71,1.22,17.07,97.37
ARE,2017,URINE,KLEPNE,CRO,K. pneumoniae,Ceftriaxone,3113,724,495,3,226,2389,68.37,0.41,31.22,76.74
ARE,2017,URINE,KLEPNE,CTX,K. pneumoniae,Cefotaxime,3113,1976,1376,32,568,1137,69.64,1.62,28.74,36.52
ARE,2017,URINE,KLEPNE,ETP,K. pneumoniae,Ertapenem,3113,1340,1272,2,66,1773,94.93,0.15,4.93,56.95
ARE,2017,URINE,KLEPNE,FEP,K. pneumoniae,Cefepime,3113,1965,1626,66,273,1148,82.75,3.36,13.89,36.88
ARE,2017,URINE,KLEPNE,IPM,K. pneumoniae,Imipenem,3113,2615,2432,47,136,498,93,1.8,5.2,16
ARE,2017,URINE,KLEPNE,J01DD,K. pneumoniae,Third-generation cephalosporins,3113,2708,1841,30,837,405,67.98,1.11,30.91,13.01
ARE,2017,URINE,KLEPNE,J01DH,K. pneumoniae,Carbapenems,3113,2721,2507,32,182,392,92.14,1.18,6.69,12.59
ARE,2017,URINE,KLEPNE,J01MA,K. pneumoniae,Fluoroquinolones,3113,2876,2339,96,441,237,81.33,3.34,15.33,7.61
ARE,2017,URINE,KLEPNE,LVX,K. pneumoniae,Levofloxacin,3113,193,172,2,19,2920,89.12,1.04,9.84,93.8
ARE,2017,URINE,KLEPNE,MEM,K. pneumoniae,Meropenem,3113,2714,2532,18,164,399,93.29,0.66,6.04,12.82
ARE,2017,URINE,KLEPNE,SXT,K. pneumoniae,Co-trimoxazole,3113,2938,2082,0,856,175,70.86,0,29.14,5.62
ARE,2018,BLOOD,SALSPP,J01MA,Salmonella spp.,Fluoroquinolones,129,94,39,19,36,35,41.49,20.21,38.3,27.13
ARE,2018,STOOL,SHISPP,CAZ,Shigella spp.,Ceftazidime,122,75,71,2,2,47,94.67,2.67,2.67,38.52
ARE,2018,BLOOD,ACISPP,AMK,Acinetobacter spp.,Amikacin,113,17,13,1,3,96,76.47,5.88,17.65,84.96
ARE,2018,BLOOD,ACISPP,COL,Acinetobacter spp.,Colistin,113,22,21,0,1,91,95.45,0,4.55,80.53
ARE,2018,BLOOD,ACISPP,GEN,Acinetobacter spp.,Gentamicin,113,103,55,2,46,10,53.4,1.94,44.66,8.85
ARE,2018,BLOOD,ACISPP,IPM,Acinetobacter spp.,Imipenem,113,98,52,0,46,15,53.06,0,46.94,13.27
ARE,2018,BLOOD,ACISPP,J01AA,Acinetobacter spp.,Tetracyclines,113,58,37,6,15,55,63.79,10.34,25.86,48.67
ARE,2018,BLOOD,ACISPP,J01DH,Acinetobacter spp.,Carbapenems,113,100,52,0,48,13,52,0,48,11.5
ARE,2018,BLOOD,ACISPP,MEM,Acinetobacter spp.,Meropenem,113,99,52,1,46,14,52.53,1.01,46.46,12.39
ARE,2018,BLOOD,ACISPP,MNO,Acinetobacter spp.,Minocycline,113,43,25,6,12,70,58.14,13.95,27.91,61.95
ARE,2018,BLOOD,ESCCOL,AMP,E. coli,Ampicillin,909,787,179,8,600,122,22.74,1.02,76.24,13.42
ARE,2018,BLOOD,ESCCOL,CAZ,E. coli,Ceftazidime,909,783,548,19,216,126,69.99,2.43,27.59,13.86
ARE,2018,BLOOD,ESCCOL,CIP,E. coli,Ciprofloxacin,909,791,312,48,431,118,39.44,6.07,54.49,12.98
ARE,2018,BLOOD,ESCCOL,COL,E. coli,Colistin,909,19,19,0,0,890,100,0,0,97.91
ARE,2018,BLOOD,ESCCOL,CRO,E. coli,Ceftriaxone,909,209,109,0,100,700,52.15,0,47.85,77.01
ARE,2018,BLOOD,ESCCOL,CTX,E. coli,Cefotaxime,909,584,301,3,280,325,51.54,0.51,47.95,35.75
ARE,2018,BLOOD,ESCCOL,ETP,E. coli,Ertapenem,909,391,380,1,10,518,97.19,0.26,2.56,56.99
ARE,2018,BLOOD,ESCCOL,FEP,E. coli,Cefepime,909,607,433,61,113,302,71.33,10.05,18.62,33.22
ARE,2018,BLOOD,ESCCOL,IPM,E. coli,Imipenem,909,762,749,3,10,147,98.29,0.39,1.31,16.17
ARE,2018,BLOOD,ESCCOL,J01DD,E. coli,Third-generation cephalosporins,909,797,409,2,386,112,51.32,0.25,48.43,12.32
ARE,2018,BLOOD,ESCCOL,J01DH,E. coli,Carbapenems,909,789,772,2,15,120,97.85,0.25,1.9,13.2
ARE,2018,BLOOD,ESCCOL,J01MA,E. coli,Fluoroquinolones,909,791,312,48,431,118,39.44,6.07,54.49,12.98
ARE,2018,BLOOD,ESCCOL,LVX,E. coli,Levofloxacin,909,41,21,0,20,868,51.22,0,48.78,95.49
ARE,2018,BLOOD,ESCCOL,MEM,E. coli,Meropenem,909,787,774,2,11,122,98.35,0.25,1.4,13.42
ARE,2018,BLOOD,ESCCOL,SXT,E. coli,Co-trimoxazole,909,791,380,0,411,118,48.04,0,51.96,12.98
ARE,2018,BLOOD,KLEPNE,CAZ,K. pneumoniae,Ceftazidime,666,560,366,29,165,106,65.36,5.18,29.46,15.92
ARE,2018,BLOOD,KLEPNE,CIP,K. pneumoniae,Ciprofloxacin,666,567,307,26,234,99,54.14,4.59,41.27,14.86
ARE,2018,BLOOD,KLEPNE,CRO,K. pneumoniae,Ceftriaxone,666,150,70,0,80,516,46.67,0,53.33,77.48
ARE,2018,BLOOD,KLEPNE,CTX,K. pneumoniae,Cefotaxime,666,418,278,4,136,248,66.51,0.96,32.54,37.24
ARE,2018,BLOOD,KLEPNE,ETP,K. pneumoniae,Ertapenem,666,262,231,0,31,404,88.17,0,11.83,60.66
ARE,2018,BLOOD,KLEPNE,FEP,K. pneumoniae,Cefepime,666,428,311,17,100,238,72.66,3.97,23.36,35.74
ARE,2018,BLOOD,KLEPNE,IPM,K. pneumoniae,Imipenem,666,545,477,21,47,121,87.52,3.85,8.62,18.17
ARE,2018,BLOOD,KLEPNE,J01DD,K. pneumoniae,Third-generation cephalosporins,666,572,343,5,224,94,59.97,0.87,39.16,14.11
ARE,2018,BLOOD,KLEPNE,J01DH,K. pneumoniae,Carbapenems,666,569,486,6,77,97,85.41,1.05,13.53,14.56
ARE,2018,BLOOD,KLEPNE,J01MA,K. pneumoniae,Fluoroquinolones,666,568,307,26,235,98,54.05,4.58,41.37,14.71
ARE,2018,BLOOD,KLEPNE,LVX,K. pneumoniae,Levofloxacin,666,17,10,0,7,649,58.82,0,41.18,97.45
ARE,2018,BLOOD,KLEPNE,MEM,K. pneumoniae,Meropenem,666,563,489,3,71,103,86.86,0.53,12.61,15.47
ARE,2018,BLOOD,KLEPNE,SXT,K. pneumoniae,Co-trimoxazole,666,564,349,0,215,102,61.88,0,38.12,15.32
ARE,2018,BLOOD,SALSPP,CAZ,Salmonella spp.,Ceftazidime,129,106,94,1,11,23,88.68,0.94,10.38,17.83
ARE,2018,BLOOD,SALSPP,CIP,Salmonella spp.,Ciprofloxacin,129,92,38,18,36,37,41.3,19.57,39.13,28.68
ARE,2018,BLOOD,SALSPP,CRO,Salmonella spp.,Ceftriaxone,129,46,38,0,8,83,82.61,0,17.39,64.34
ARE,2018,BLOOD,SALSPP,CTX,Salmonella spp.,Cefotaxime,129,67,63,0,4,62,94.03,0,5.97,48.06
ARE,2018,BLOOD,SALSPP,ETP,Salmonella spp.,Ertapenem,129,55,54,0,1,74,98.18,0,1.82,57.36
ARE,2018,BLOOD,SALSPP,IPM,Salmonella spp.,Imipenem,129,104,104,0,0,25,100,0,0,19.38
ARE,2018,BLOOD,SALSPP,J01DD,Salmonella spp.,Third-generation cephalosporins,129,110,97,1,12,19,88.18,0.91,10.91,14.73
ARE,2018,BLOOD,SALSPP,LVX,Salmonella spp.,Levofloxacin,129,22,15,4,3,107,68.18,18.18,13.64,82.95
ARE,2018,BLOOD,SALSPP,MEM,Salmonella spp.,Meropenem,129,106,106,0,0,23,100,0,0,17.83
ARE,2018,BLOOD,STAAUR,FOX,S. aureus,Cefoxitin,500,38,29,0,9,462,76.32,0,23.68,92.4
ARE,2018,BLOOD,STAAUR,OXA,S. aureus,Oxacillin,500,447,324,0,123,53,72.48,0,27.52,10.6
ARE,2018,BLOOD,STRPNE,CRO,S. pneumoniae,Ceftriaxone,135,72,62,10,0,63,86.11,13.89,0,46.67
ARE,2018,BLOOD,STRPNE,CTX,S. pneumoniae,Cefotaxime,135,41,33,7,1,94,80.49,17.07,2.44,69.63
ARE,2018,BLOOD,STRPNE,J01DD,S. pneumoniae,Third-generation cephalosporins,135,83,68,14,1,52,81.93,16.87,1.2,38.52
ARE,2018,BLOOD,STRPNE,PEN,S. pneumoniae,Penicillin G,135,67,41,0,26,68,61.19,0,38.81,50.37
ARE,2018,BLOOD,STRPNE,SXT,S. pneumoniae,Co-trimoxazole,135,84,47,17,20,51,55.95,20.24,23.81,37.78
ARE,2018,GENITAL,NEIGON,AZM,N. gonorrhoeae,Azithromycin,146,10,10,0,0,136,100,0,0,93.15
ARE,2018,STOOL,SALSPP,CAZ,Salmonella spp.,Ceftazidime,696,445,429,1,15,251,96.4,0.22,3.37,36.06
ARE,2018,STOOL,SALSPP,CIP,Salmonella spp.,Ciprofloxacin,696,305,239,29,37,391,78.36,9.51,12.13,56.18
ARE,2018,STOOL,SALSPP,CRO,Salmonella spp.,Ceftriaxone,696,240,228,1,11,456,95,0.42,4.58,65.52
ARE,2018,STOOL,SALSPP,CTX,Salmonella spp.,Cefotaxime,696,245,235,0,10,451,95.92,0,4.08,64.8
ARE,2018,STOOL,SALSPP,ETP,Salmonella spp.,Ertapenem,696,230,230,0,0,466,100,0,0,66.95
ARE,2018,STOOL,SALSPP,IPM,Salmonella spp.,Imipenem,696,443,442,1,0,253,99.77,0.23,0,36.35
ARE,2018,STOOL,SALSPP,J01DD,Salmonella spp.,Third-generation cephalosporins,696,497,473,1,23,199,95.17,0.2,4.63,28.59
ARE,2018,STOOL,SALSPP,J01MA,Salmonella spp.,Fluoroquinolones,696,325,258,30,37,371,79.38,9.23,11.38,53.3
ARE,2018,STOOL,SALSPP,LVX,Salmonella spp.,Levofloxacin,696,73,58,7,8,623,79.45,9.59,10.96,89.51
ARE,2018,STOOL,SALSPP,MEM,Salmonella spp.,Meropenem,696,446,446,0,0,250,100,0,0,35.92
ARE,2018,STOOL,SHISPP,CIP,Shigella spp.,Ciprofloxacin,122,86,49,2,35,36,56.98,2.33,40.7,29.51
ARE,2018,STOOL,SHISPP,CRO,Shigella spp.,Ceftriaxone,122,44,29,0,15,78,65.91,0,34.09,63.93
ARE,2018,STOOL,SHISPP,CTX,Shigella spp.,Cefotaxime,122,33,22,1,10,89,66.67,3.03,30.3,72.95
ARE,2018,STOOL,SHISPP,J01DD,Shigella spp.,Third-generation cephalosporins,122,80,54,1,25,42,67.5,1.25,31.25,34.43
ARE,2018,STOOL,SHISPP,J01MA,Shigella spp.,Fluoroquinolones,122,86,48,2,36,36,55.81,2.33,41.86,29.51
ARE,2018,URINE,ESCCOL,AMP,E. coli,Ampicillin,17266,15083,5246,160,9677,2183,34.78,1.06,64.16,12.64
ARE,2018,URINE,ESCCOL,CAZ,E. coli,Ceftazidime,17266,14764,11721,317,2726,2502,79.39,2.15,18.46,14.49
ARE,2018,URINE,ESCCOL,CIP,E. coli,Ciprofloxacin,17266,15063,8474,801,5788,2203,56.26,5.32,38.43,12.76
ARE,2018,URINE,ESCCOL,COL,E. coli,Colistin,17266,1836,1793,5,38,15430,97.66,0.27,2.07,89.37
ARE,2018,URINE,ESCCOL,CRO,E. coli,Ceftriaxone,17266,6649,4628,13,2008,10617,69.6,0.2,30.2,61.49
ARE,2018,URINE,ESCCOL,CTX,E. coli,Cefotaxime,17266,8280,5355,56,2869,8986,64.67,0.68,34.65,52.04
ARE,2018,URINE,ESCCOL,ETP,E. coli,Ertapenem,17266,8035,7884,16,135,9231,98.12,0.2,1.68,53.46
ARE,2018,URINE,ESCCOL,FEP,E. coli,Cefepime,17266,12251,9852,743,1656,5015,80.42,6.06,13.52,29.05
ARE,2018,URINE,ESCCOL,IPM,E. coli,Imipenem,17266,14071,13910,88,73,3195,98.86,0.63,0.52,18.5
ARE,2018,URINE,ESCCOL,J01DD,E. coli,Third-generation cephalosporins,17266,15065,10046,59,4960,2201,66.68,0.39,32.92,12.75
ARE,2018,URINE,ESCCOL,J01DH,E. coli,Carbapenems,17266,14743,14463,92,188,2523,98.1,0.62,1.28,14.61
ARE,2018,URINE,ESCCOL,J01MA,E. coli,Fluoroquinolones,17266,15069,8473,802,5794,2197,56.23,5.32,38.45,12.72
ARE,2018,URINE,ESCCOL,LVX,E. coli,Levofloxacin,17266,2986,2121,1,864,14280,71.03,0.03,28.94,82.71
ARE,2018,URINE,ESCCOL,MEM,E. coli,Meropenem,17266,14727,14583,30,114,2539,99.02,0.2,0.77,14.71
ARE,2018,URINE,ESCCOL,SXT,E. coli,Co-trimoxazole,17266,15056,8849,0,6207,2210,58.77,0,41.23,12.8
