iso3,year,specimen,origin,numsampledpatients,pathogen,antibiotic,antibiotic.label2,tot,unk,res,ast,p.unk,f.res
BHR,2019,BLOOD,CO,5433,ESCCOL,J01MA,Fluoroquinolones,76,0,25,76,0,1398.86
BHR,2019,BLOOD,CO,5433,ESCCOL,SXT,Co-trimoxazole,54,22,14,32,40.74,588.99
BHR,2019,BLOOD,CO,5433,ESCCOL,MEM,Meropenem,54,0,0,54,0,993.93
BHR,2019,BLOOD,CO,5433,ESCCOL,J01DH,Carbapenems,76,0,0,76,0,1398.86
BHR,2019,BLOOD,CO,5433,KLEPNE,J01MA,Fluoroquinolones,42,1,7,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,KLEPNE,J01MA,Fluoroquinolones,12,0,1,12,0,220.87
BHR,2019,BLOOD,CO,5433,KLEPNE,J01DD,Third-generation cephalosporins,42,1,11,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,KLEPNE,SXT,Co-trimoxazole,12,2,2,10,16.67,184.06
BHR,2019,BLOOD,CO,5433,KLEPNE,MEM,Meropenem,42,1,3,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,KLEPNE,MEM,Meropenem,12,0,1,12,0,220.87
BHR,2019,BLOOD,CO,5433,KLEPNE,CRO,Ceftriaxone,42,1,11,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,KLEPNE,J01DH,Carbapenems,12,0,1,12,0,220.87
BHR,2019,BLOOD,CO,5433,KLEPNE,FEP,Cefepime,42,1,11,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,KLEPNE,J01DH,Carbapenems,42,1,3,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,KLEPNE,J01DD,Third-generation cephalosporins,12,0,3,12,0,220.87
BHR,2019,BLOOD,CO,5433,KLEPNE,CIP,Ciprofloxacin,12,0,1,12,0,220.87
BHR,2019,BLOOD,CO,5433,KLEPNE,SXT,Co-trimoxazole,42,1,11,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,KLEPNE,CRO,Ceftriaxone,12,0,3,12,0,220.87
BHR,2019,BLOOD,CO,5433,KLEPNE,FEP,Cefepime,12,0,3,12,0,220.87
BHR,2019,BLOOD,CO,5433,KLEPNE,CIP,Ciprofloxacin,42,1,7,41,2.38,754.65
BHR,2019,BLOOD,CO,5433,SALSPP,J01DD,Third-generation cephalosporins,25,0,6,25,0,460.15
BHR,2019,BLOOD,CO,5433,SALSPP,J01MA,Fluoroquinolones,25,0,4,25,0,460.15
BHR,2019,BLOOD,CO,5433,SALSPP,CRO,Ceftriaxone,25,0,6,25,0,460.15
BHR,2019,BLOOD,CO,5433,SALSPP,CIP,Ciprofloxacin,25,0,4,25,0,460.15
BHR,2019,BLOOD,CO,5433,STAAUR,OXA,Oxacillin,93,0,34,93,0,1711.76
BHR,2019,BLOOD,CO,5433,STAAUR,OXA,Oxacillin,35,0,16,35,0,644.21
BHR,2019,BLOOD,CO,5433,STRPNE,CRO,Ceftriaxone,13,1,0,12,7.69,220.87
BHR,2019,BLOOD,CO,5433,STRPNE,J01DD,Third-generation cephalosporins,13,1,0,12,7.69,220.87
BHR,2019,BLOOD,CO,5433,STRPNE,PEN,Penicillin G,13,3,0,10,23.08,184.06
BHR,2019,BLOOD,HO,2151,ACISPP,MEM,Meropenem,65,0,52,65,0,3021.85
BHR,2019,BLOOD,HO,2151,ACISPP,IPM,Imipenem,65,0,52,65,0,3021.85
BHR,2019,BLOOD,HO,2151,ACISPP,J01DH,Carbapenems,65,0,52,65,0,3021.85
BHR,2019,BLOOD,HO,2151,ACISPP,AMK,Amikacin,65,0,35,65,0,3021.85
BHR,2019,BLOOD,HO,2151,ACISPP,GEN,Gentamicin,65,0,35,65,0,3021.85
BHR,2019,BLOOD,HO,2151,ACISPP,TGC,Tigecycline,65,17,2,48,26.15,2231.52
BHR,2019,BLOOD,HO,2151,ACISPP,COL,Colistin,65,19,0,46,29.23,2138.54
BHR,2019,BLOOD,HO,2151,ESCCOL,J01DH,Carbapenems,61,1,3,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,ESCCOL,CRO,Ceftriaxone,61,1,37,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,ESCCOL,FEP,Cefepime,61,1,37,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,ESCCOL,SXT,Co-trimoxazole,61,1,37,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,ESCCOL,CIP,Ciprofloxacin,61,1,24,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,ESCCOL,J01MA,Fluoroquinolones,61,1,24,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,ESCCOL,J01DD,Third-generation cephalosporins,61,1,37,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,ESCCOL,MEM,Meropenem,61,1,2,60,1.64,2789.4
BHR,2019,BLOOD,HO,2151,KLEPNE,J01DH,Carbapenems,138,1,58,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,IPM,Imipenem,138,80,55,58,57.97,2696.42
BHR,2019,BLOOD,HO,2151,KLEPNE,SXT,Co-trimoxazole,138,1,84,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,J01MA,Fluoroquinolones,138,1,64,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,ETP,Ertapenem,138,83,55,55,60.14,2556.95
BHR,2019,BLOOD,HO,2151,KLEPNE,MEM,Meropenem,138,1,56,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,CRO,Ceftriaxone,138,1,89,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,J01DD,Third-generation cephalosporins,138,1,89,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,CIP,Ciprofloxacin,138,1,64,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,FEP,Cefepime,138,1,89,137,0.72,6369.13
BHR,2019,BLOOD,HO,2151,KLEPNE,COL,Colistin,138,84,23,54,60.87,2510.46
BHR,2019,BLOOD,HO,2151,STAAUR,OXA,Oxacillin,70,0,31,70,0,3254.3
BHR,2019,BLOOD,UNK,3255,ACISPP,COL,Colistin,75,19,0,56,25.33,1720.43
BHR,2019,BLOOD,UNK,3255,ACISPP,AMK,Amikacin,75,0,46,75,0,2304.15
BHR,2019,BLOOD,UNK,3255,ACISPP,TGC,Tigecycline,75,23,15,52,30.67,1597.54
BHR,2019,BLOOD,UNK,3255,ACISPP,IPM,Imipenem,75,0,56,75,0,2304.15
BHR,2019,BLOOD,UNK,3255,ACISPP,J01AA,Tetracyclines,75,19,53,56,25.33,1720.43
BHR,2019,BLOOD,UNK,3255,ACISPP,GEN,Gentamicin,75,0,39,75,0,2304.15
BHR,2019,BLOOD,UNK,3255,ACISPP,MEM,Meropenem,75,0,57,75,0,2304.15
BHR,2019,BLOOD,UNK,3255,ACISPP,J01DH,Carbapenems,75,0,57,75,0,2304.15
BHR,2019,BLOOD,UNK,3255,ESCCOL,J01DD,Third-generation cephalosporins,62,0,32,62,0,1904.76
BHR,2019,BLOOD,UNK,3255,ESCCOL,J01MA,Fluoroquinolones,145,0,48,145,0,4454.69
BHR,2019,BLOOD,UNK,3255,ESCCOL,CIP,Ciprofloxacin,145,0,48,145,0,4454.69
BHR,2019,BLOOD,UNK,3255,ESCCOL,CRO,Ceftriaxone,62,1,31,61,1.61,1874.04
BHR,2019,BLOOD,UNK,3255,ESCCOL,J01DH,Carbapenems,62,0,3,62,0,1904.76
BHR,2019,BLOOD,UNK,3255,ESCCOL,FEP,Cefepime,145,0,63,145,0,4454.69
BHR,2019,BLOOD,UNK,3255,ESCCOL,CRO,Ceftriaxone,72,0,36,72,0,2211.98
BHR,2019,BLOOD,UNK,3255,ESCCOL,CIP,Ciprofloxacin,72,0,32,72,0,2211.98
BHR,2019,BLOOD,UNK,3255,ESCCOL,SXT,Co-trimoxazole,145,38,43,107,26.21,3287.25
BHR,2019,BLOOD,UNK,3255,ESCCOL,MEM,Meropenem,62,3,2,59,4.84,1812.6
BHR,2019,BLOOD,UNK,3255,ESCCOL,MEM,Meropenem,72,0,1,72,0,2211.98
BHR,2019,BLOOD,UNK,3255,ESCCOL,SXT,Co-trimoxazole,62,1,26,61,1.61,1874.04
BHR,2019,BLOOD,UNK,3255,ESCCOL,FEP,Cefepime,62,3,30,59,4.84,1812.6
BHR,2019,BLOOD,UNK,3255,ESCCOL,MEM,Meropenem,145,0,4,145,0,4454.69
BHR,2019,BLOOD,UNK,3255,ESCCOL,SXT,Co-trimoxazole,72,0,37,72,0,2211.98
BHR,2019,BLOOD,UNK,3255,ESCCOL,J01DH,Carbapenems,145,0,4,145,0,4454.69
BHR,2019,BLOOD,UNK,3255,ESCCOL,FEP,Cefepime,72,0,37,72,0,2211.98
BHR,2019,BLOOD,UNK,3255,ESCCOL,CRO,Ceftriaxone,145,0,65,145,0,4454.69
BHR,2019,BLOOD,UNK,3255,ESCCOL,J01DD,Third-generation cephalosporins,145,0,65,145,0,4454.69
BHR,2019,BLOOD,UNK,3255,ESCCOL,CIP,Ciprofloxacin,62,0,23,62,0,1904.76
BHR,2019,BLOOD,UNK,3255,ESCCOL,J01MA,Fluoroquinolones,62,0,23,62,0,1904.76
BHR,2019,BLOOD,UNK,3255,KLEPNE,CRO,Ceftriaxone,113,0,54,113,0,3471.58
BHR,2019,BLOOD,UNK,3255,KLEPNE,CIP,Ciprofloxacin,169,0,53,169,0,5192.01
BHR,2019,BLOOD,UNK,3255,KLEPNE,IPM,Imipenem,113,84,26,29,74.34,890.94
BHR,2019,BLOOD,UNK,3255,KLEPNE,J01MA,Fluoroquinolones,31,0,5,31,0,952.38
BHR,2019,BLOOD,UNK,3255,KLEPNE,CRO,Ceftriaxone,169,0,75,169,0,5192.01
BHR,2019,BLOOD,UNK,3255,KLEPNE,SXT,Co-trimoxazole,169,0,88,169,0,5192.01
BHR,2019,BLOOD,UNK,3255,KLEPNE,SXT,Co-trimoxazole,113,4,52,109,3.54,3348.69
BHR,2019,BLOOD,UNK,3255,KLEPNE,IPM,Imipenem,196,137,41,59,69.9,1812.6
BHR,2019,BLOOD,UNK,3255,KLEPNE,CRO,Ceftriaxone,31,0,13,31,0,952.38
BHR,2019,BLOOD,UNK,3255,KLEPNE,CIP,Ciprofloxacin,31,0,5,31,0,952.38
BHR,2019,BLOOD,UNK,3255,KLEPNE,J01DD,Third-generation cephalosporins,31,0,13,31,0,952.38
BHR,2019,BLOOD,UNK,3255,KLEPNE,CTX,Cefotaxime,169,0,75,169,0,5192.01
BHR,2019,BLOOD,UNK,3255,KLEPNE,COL,Colistin,113,85,8,28,75.22,860.22
BHR,2019,BLOOD,UNK,3255,KLEPNE,J01MA,Fluoroquinolones,113,0,38,113,0,3471.58
BHR,2019,BLOOD,UNK,3255,KLEPNE,SXT,Co-trimoxazole,31,2,9,29,6.45,890.94
BHR,2019,BLOOD,UNK,3255,KLEPNE,MEM,Meropenem,113,0,25,113,0,3471.58
BHR,2019,BLOOD,UNK,3255,KLEPNE,FEP,Cefepime,169,0,75,169,0,5192.01
BHR,2019,BLOOD,UNK,3255,KLEPNE,ETP,Ertapenem,113,85,27,28,75.22,860.22
BHR,2019,BLOOD,UNK,3255,KLEPNE,MEM,Meropenem,31,2,0,29,6.45,890.94
BHR,2019,BLOOD,UNK,3255,KLEPNE,FEP,Cefepime,113,0,53,113,0,3471.58
BHR,2019,BLOOD,UNK,3255,KLEPNE,ETP,Ertapenem,169,137,32,32,81.07,983.1
BHR,2019,BLOOD,UNK,3255,KLEPNE,CIP,Ciprofloxacin,113,0,38,113,0,3471.58
BHR,2019,BLOOD,UNK,3255,KLEPNE,FEP,Cefepime,27,0,10,27,0,829.49
BHR,2019,BLOOD,UNK,3255,KLEPNE,COL,Colistin,169,136,12,33,80.47,1013.82
BHR,2019,BLOOD,UNK,3255,KLEPNE,J01DH,Carbapenems,31,0,0,31,0,952.38
BHR,2019,BLOOD,UNK,3255,SALSPP,MEM,Meropenem,22,11,0,11,50,337.94
BHR,2019,BLOOD,UNK,3255,SALSPP,CIP,Ciprofloxacin,22,2,6,20,9.09,614.44
BHR,2019,BLOOD,UNK,3255,SALSPP,CIP,Ciprofloxacin,13,0,0,13,0,399.39
BHR,2019,BLOOD,UNK,3255,SALSPP,J01MA,Fluoroquinolones,22,2,6,20,9.09,614.44
BHR,2019,BLOOD,UNK,3255,SALSPP,CRO,Ceftriaxone,13,0,0,13,0,399.39
BHR,2019,BLOOD,UNK,3255,SALSPP,J01DD,Third-generation cephalosporins,13,0,0,13,0,399.39
BHR,2019,BLOOD,UNK,3255,SALSPP,J01DD,Third-generation cephalosporins,22,0,5,22,0,675.88
BHR,2019,BLOOD,UNK,3255,SALSPP,CRO,Ceftriaxone,22,0,5,22,0,675.88
BHR,2019,BLOOD,UNK,3255,SALSPP,J01MA,Fluoroquinolones,13,0,0,13,0,399.39
BHR,2019,BLOOD,UNK,3255,STAAUR,OXA,Oxacillin,41,4,15,37,9.76,1136.71
BHR,2019,BLOOD,UNK,3255,STAAUR,OXA,Oxacillin,151,0,50,151,0,4639.02
BHR,2019,BLOOD,UNK,3255,STRPNE,J01DD,Third-generation cephalosporins,11,0,0,11,0,337.94
BHR,2019,BLOOD,UNK,3255,STRPNE,CRO,Ceftriaxone,11,0,0,11,0,337.94
BHR,2019,GENITAL,CO,1203,NEIGON,CRO,Ceftriaxone,59,0,0,59,0,4904.41
BHR,2019,GENITAL,CO,1203,NEIGON,CIP,Ciprofloxacin,59,0,50,59,0,4904.41
BHR,2019,GENITAL,UNK,121,NEIGON,CRO,Ceftriaxone,15,0,0,15,0,12396.69
BHR,2019,GENITAL,UNK,121,NEIGON,CIP,Ciprofloxacin,15,0,13,15,0,12396.69
BHR,2019,GENITAL,UNK,121,NEIGON,CFM,Cefixime,11,1,0,10,9.09,8264.46
BHR,2019,GENITAL,UNK,121,NEIGON,AZM,Azithromycin,11,0,0,11,0,9090.91
BHR,2019,GENITAL,UNK,121,NEIGON,CRO,Ceftriaxone,12,0,0,12,0,9917.36
BHR,2019,STOOL,CO,1841,SALSPP,J01DD,Third-generation cephalosporins,116,0,5,116,0,6300.92
BHR,2019,STOOL,CO,1841,SALSPP,J01MA,Fluoroquinolones,116,0,4,116,0,6300.92
BHR,2019,STOOL,CO,1841,SALSPP,CRO,Ceftriaxone,116,0,5,116,0,6300.92
BHR,2019,STOOL,CO,1841,SALSPP,CIP,Ciprofloxacin,113,1,4,112,0.88,6083.65
BHR,2019,STOOL,CO,1841,SALSPP,J01MA,Fluoroquinolones,113,1,4,112,0.88,6083.65
BHR,2019,STOOL,CO,1841,SALSPP,CRO,Ceftriaxone,113,2,1,111,1.77,6029.33
BHR,2019,STOOL,CO,1841,SALSPP,J01DD,Third-generation cephalosporins,113,2,1,111,1.77,6029.33
BHR,2019,STOOL,CO,1841,SHISPP,CIP,Ciprofloxacin,13,0,2,13,0,706.14
BHR,2019,STOOL,CO,1841,SHISPP,CRO,Ceftriaxone,13,0,1,13,0,706.14
BHR,2019,STOOL,CO,1841,SHISPP,J01MA,Fluoroquinolones,13,0,2,13,0,706.14
BHR,2019,STOOL,CO,1841,SHISPP,CRO,Ceftriaxone,28,0,2,28,0,1520.91
BHR,2019,STOOL,CO,1841,SHISPP,CIP,Ciprofloxacin,28,0,2,28,0,1520.91
BHR,2019,STOOL,CO,1841,SHISPP,J01DD,Third-generation cephalosporins,13,0,1,13,0,706.14
BHR,2019,STOOL,CO,1841,SHISPP,J01MA,Fluoroquinolones,28,0,2,28,0,1520.91
BHR,2019,STOOL,CO,1841,SHISPP,J01DD,Third-generation cephalosporins,28,0,2,28,0,1520.91
BHR,2019,STOOL,HO,397,SALSPP,CRO,Ceftriaxone,13,0,3,13,0,3274.56
BHR,2019,STOOL,HO,397,SALSPP,J01MA,Fluoroquinolones,13,0,3,13,0,3274.56
BHR,2019,STOOL,HO,397,SALSPP,CIP,Ciprofloxacin,13,0,3,13,0,3274.56
BHR,2019,STOOL,HO,397,SALSPP,J01DD,Third-generation cephalosporins,13,0,3,13,0,3274.56
BHR,2019,STOOL,UNK,427,SALSPP,IPM,Imipenem,126,37,0,89,29.37,20843.09
BHR,2019,STOOL,UNK,427,SALSPP,J01DD,Third-generation cephalosporins,148,6,6,142,4.05,33255.27
BHR,2019,STOOL,UNK,427,SALSPP,MEM,Meropenem,148,64,0,84,43.24,19672.13
BHR,2019,STOOL,UNK,427,SALSPP,CAZ,Ceftazidime,126,37,3,89,29.37,20843.09
BHR,2019,STOOL,UNK,427,SALSPP,CIP,Ciprofloxacin,66,0,2,66,0,15456.67
BHR,2019,STOOL,UNK,427,SALSPP,CRO,Ceftriaxone,95,0,1,95,0,22248.24
BHR,2019,STOOL,UNK,427,SALSPP,CRO,Ceftriaxone,66,0,3,66,0,15456.67
BHR,2019,STOOL,UNK,427,SALSPP,CIP,Ciprofloxacin,148,81,12,67,54.73,15690.87
BHR,2019,STOOL,UNK,427,SALSPP,J01DD,Third-generation cephalosporins,66,0,3,66,0,15456.67
BHR,2019,STOOL,UNK,427,SALSPP,J01MA,Fluoroquinolones,148,81,12,67,54.73,15690.87
BHR,2019,STOOL,UNK,427,SALSPP,CRO,Ceftriaxone,148,6,6,142,4.05,33255.27
BHR,2019,STOOL,UNK,427,SALSPP,J01MA,Fluoroquinolones,66,0,2,66,0,15456.67
BHR,2019,STOOL,UNK,427,SHISPP,CRO,Ceftriaxone,13,1,5,12,7.69,2810.3
BHR,2019,STOOL,UNK,427,SHISPP,J01DD,Third-generation cephalosporins,13,1,5,12,7.69,2810.3
BHR,2019,STOOL,UNK,427,SHISPP,CRO,Ceftriaxone,10,0,3,10,0,2341.92
BHR,2019,STOOL,UNK,427,SHISPP,J01MA,Fluoroquinolones,10,0,0,10,0,2341.92
BHR,2019,STOOL,UNK,427,SHISPP,CIP,Ciprofloxacin,10,0,0,10,0,2341.92
BHR,2019,STOOL,UNK,427,SHISPP,J01MA,Fluoroquinolones,13,1,1,12,7.69,2810.3
BHR,2019,STOOL,UNK,427,SHISPP,J01DD,Third-generation cephalosporins,10,0,3,10,0,2341.92
BHR,2019,URINE,CO,35264,ESCCOL,J01DH,Carbapenems,2343,1740,4,603,74.26,1709.96
BHR,2019,URINE,CO,35264,ESCCOL,CIP,Ciprofloxacin,2202,1915,61,287,86.97,813.86
BHR,2019,URINE,CO,35264,ESCCOL,J01DD,Third-generation cephalosporins,2343,137,603,2206,5.85,6255.67
BHR,2019,URINE,CO,35264,ESCCOL,ETP,Ertapenem,2202,2159,6,43,98.05,121.94
BHR,2019,URINE,CO,35264,ESCCOL,MEM,Meropenem,2202,1569,7,633,71.25,1795.03
BHR,2019,URINE,CO,35264,ESCCOL,J01MA,Fluoroquinolones,2202,1915,61,287,86.97,813.86
BHR,2019,URINE,CO,35264,ESCCOL,J01DD,Third-generation cephalosporins,2202,79,626,2123,3.59,6020.3
BHR,2019,URINE,CO,35264,ESCCOL,CRO,Ceftriaxone,2343,137,603,2206,5.85,6255.67
BHR,2019,URINE,CO,35264,ESCCOL,SXT,Co-trimoxazole,2343,881,514,1462,37.6,4145.87
BHR,2019,URINE,CO,35264,ESCCOL,CRO,Ceftriaxone,2202,79,626,2123,3.59,6020.3
BHR,2019,URINE,CO,35264,ESCCOL,CIP,Ciprofloxacin,2343,1841,89,502,78.57,1423.55
BHR,2019,URINE,CO,35264,ESCCOL,J01MA,Fluoroquinolones,2343,1841,89,502,78.57,1423.55
BHR,2019,URINE,CO,35264,ESCCOL,J01DH,Carbapenems,2202,1569,7,633,71.25,1795.03
BHR,2019,URINE,CO,35264,ESCCOL,MEM,Meropenem,2343,1740,4,603,74.26,1709.96
BHR,2019,URINE,CO,35264,KLEPNE,J01MA,Fluoroquinolones,645,544,19,101,84.34,286.41
BHR,2019,URINE,CO,35264,KLEPNE,SXT,Co-trimoxazole,369,93,89,276,25.2,782.67
BHR,2019,URINE,CO,35264,KLEPNE,CIP,Ciprofloxacin,369,309,8,60,83.74,170.15
BHR,2019,URINE,CO,35264,KLEPNE,J01DD,Third-generation cephalosporins,645,43,176,602,6.67,1707.12
BHR,2019,URINE,CO,35264,KLEPNE,MEM,Meropenem,645,465,22,180,72.09,510.44
BHR,2019,URINE,CO,35264,KLEPNE,COL,Colistin,645,625,2,20,96.9,56.72
BHR,2019,URINE,CO,35264,KLEPNE,J01DD,Third-generation cephalosporins,369,34,95,335,9.21,949.98
BHR,2019,URINE,CO,35264,KLEPNE,MEM,Meropenem,369,274,6,95,74.25,269.4
BHR,2019,URINE,CO,35264,KLEPNE,CRO,Ceftriaxone,369,34,95,335,9.21,949.98
BHR,2019,URINE,CO,35264,KLEPNE,CRO,Ceftriaxone,645,43,176,602,6.67,1707.12
BHR,2019,URINE,CO,35264,KLEPNE,IPM,Imipenem,645,623,22,22,96.59,62.39
BHR,2019,URINE,CO,35264,KLEPNE,SXT,Co-trimoxazole,645,43,196,602,6.67,1707.12
BHR,2019,URINE,CO,35264,KLEPNE,J01DH,Carbapenems,645,465,22,180,72.09,510.44
BHR,2019,URINE,CO,35264,KLEPNE,ETP,Ertapenem,645,604,20,41,93.64,116.27
BHR,2019,URINE,CO,35264,KLEPNE,J01MA,Fluoroquinolones,369,309,8,60,83.74,170.15
BHR,2019,URINE,CO,35264,KLEPNE,J01DH,Carbapenems,369,274,8,95,74.25,269.4
BHR,2019,URINE,CO,35264,KLEPNE,CIP,Ciprofloxacin,645,544,19,101,84.34,286.41
BHR,2019,URINE,HO,3013,ESCCOL,J01DD,Third-generation cephalosporins,158,8,91,150,5.06,4978.43
BHR,2019,URINE,HO,3013,ESCCOL,J01DH,Carbapenems,158,68,8,90,43.04,2987.06
BHR,2019,URINE,HO,3013,ESCCOL,ETP,Ertapenem,158,139,5,19,87.97,630.6
BHR,2019,URINE,HO,3013,ESCCOL,SXT,Co-trimoxazole,158,8,76,150,5.06,4978.43
BHR,2019,URINE,HO,3013,ESCCOL,CRO,Ceftriaxone,158,8,91,150,5.06,4978.43
BHR,2019,URINE,HO,3013,ESCCOL,J01MA,Fluoroquinolones,158,131,12,27,82.91,896.12
BHR,2019,URINE,HO,3013,ESCCOL,CIP,Ciprofloxacin,158,131,12,27,82.91,896.12
BHR,2019,URINE,HO,3013,ESCCOL,MEM,Meropenem,158,68,8,90,43.04,2987.06
BHR,2019,URINE,HO,3013,KLEPNE,MEM,Meropenem,143,59,31,84,41.26,2787.92
BHR,2019,URINE,HO,3013,KLEPNE,J01DH,Carbapenems,143,59,33,84,41.26,2787.92
BHR,2019,URINE,HO,3013,KLEPNE,SXT,Co-trimoxazole,143,7,73,136,4.9,4513.77
BHR,2019,URINE,HO,3013,KLEPNE,J01DD,Third-generation cephalosporins,143,7,83,136,4.9,4513.77
BHR,2019,URINE,HO,3013,KLEPNE,CIP,Ciprofloxacin,143,117,20,26,81.82,862.93
BHR,2019,URINE,HO,3013,KLEPNE,IPM,Imipenem,143,110,32,33,76.92,1095.25
BHR,2019,URINE,HO,3013,KLEPNE,J01MA,Fluoroquinolones,143,117,20,26,81.82,862.93
BHR,2019,URINE,HO,3013,KLEPNE,CRO,Ceftriaxone,143,7,83,136,4.9,4513.77
BHR,2019,URINE,HO,3013,KLEPNE,COL,Colistin,143,114,7,29,79.72,962.5
BHR,2019,URINE,HO,3013,KLEPNE,ETP,Ertapenem,143,104,32,39,72.73,1294.39
BHR,2019,URINE,UNK,3845,ESCCOL,J01MA,Fluoroquinolones,1099,161,203,938,14.65,24395.32
BHR,2019,URINE,UNK,3845,ESCCOL,J01DD,Third-generation cephalosporins,1099,47,343,1052,4.28,27360.21
BHR,2019,URINE,UNK,3845,ESCCOL,J01DH,Carbapenems,1099,152,28,947,13.83,24629.39
BHR,2019,URINE,UNK,3845,ESCCOL,SXT,Co-trimoxazole,765,321,199,444,41.96,11547.46
BHR,2019,URINE,UNK,3845,ESCCOL,CRO,Ceftriaxone,1099,51,340,1048,4.64,27256.18
BHR,2019,URINE,UNK,3845,ESCCOL,CTX,Cefotaxime,910,880,8,30,96.7,780.23
BHR,2019,URINE,UNK,3845,ESCCOL,LVX,Levofloxacin,910,48,184,862,5.27,22418.73
BHR,2019,URINE,UNK,3845,ESCCOL,CAZ,Ceftazidime,910,47,213,863,5.16,22444.73
BHR,2019,URINE,UNK,3845,ESCCOL,CIP,Ciprofloxacin,765,615,46,150,80.39,3901.17
BHR,2019,URINE,UNK,3845,ESCCOL,J01MA,Fluoroquinolones,765,615,46,150,80.39,3901.17
BHR,2019,URINE,UNK,3845,ESCCOL,J01DD,Third-generation cephalosporins,765,58,319,707,7.58,18387.52
BHR,2019,URINE,UNK,3845,ESCCOL,MEM,Meropenem,765,447,2,318,58.43,8270.48
BHR,2019,URINE,UNK,3845,ESCCOL,J01DH,Carbapenems,765,447,2,318,58.43,8270.48
BHR,2019,URINE,UNK,3845,ESCCOL,FEP,Cefepime,1099,328,202,771,29.85,20052.02
BHR,2019,URINE,UNK,3845,ESCCOL,CIP,Ciprofloxacin,1099,163,200,936,14.83,24343.3
BHR,2019,URINE,UNK,3845,ESCCOL,IPM,Imipenem,1099,236,13,863,21.47,22444.73
BHR,2019,URINE,UNK,3845,ESCCOL,SXT,Co-trimoxazole,1099,70,357,1029,6.37,26762.03
