whoregion,regioncode,iso3,year,ncc,nfp,nap,nrl,n.hospitals.national.system,n.outpatients.national.system,n.in.outpatients.national.system,n.lab.national.system,eqa.to.nrl,eqa.local.labs,type.ast.standards,hospital.providing.glass,outpatients.providing.glass,in-out.patients,num.labo.reporting.glass,num.pat.year.h,num.pat.year.o
EUR,,AND,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
EMR,22,ARE,2017,Not established,Nominated,Functioning with no budget,Not established,18,83,,No data,Not provided,Not provided,CLSI,6,83,,,,
EMR,22,ARE,2018,Establishment in progress,Nominated,Functioning with no budget,Not established,48,122,,26,Not provided,Not provided,CLSI,28,89,,,,
EMR,22,ARE,2019,Not established,Nominated,Functioning with no budget,Not established,61,130,,34,Not provided,Not provided,CLSI,61,130,,,,
EMR,,ARE,2020,Establishment in progress,Nominated,"Yes, with budget",Not established,,,250,,Not provided,Provided to some laboratories,CLSI,,,250,39,,
AMR/PAHO,35,ARG,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,ARG,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,ARG,2019,Established,Nominated,Functioning with no budget,Established,87,None,,87,Provided,Provided to all laboratories,CLSI,75,0,,,64460,
AMR/PAHO,,ARG,2020,Established,Nominated,"Yes, with budget",Established,,None,91,,Provided,Provided to all laboratories,CLSI,,0,70,70,,
EUR,54,ARM,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,ARM,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,ARM,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,ARM,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AMR/PAHO,35,ATG,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,ATG,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,ATG,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,ATG,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
WPR,27,AUS,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,AUS,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,AUS,2019,Established,Nominated,Functioning with budget,Established,None,No data,,1,Provided,Provided to all laboratories,EUCAST/CLSI,8,,,,0,
WPR,,AUS,2020,Established,Nominated,"Yes, with budget",Established,41,None,0,,Provided,Provided to all laboratories,EUCAST/CLSI,41,0,0,34,,
EUR,54,AUT,2017,Established,Nominated,Functioning with no budget,Established,144,None,,40,Provided,Provided to all laboratories,EUCAST,No data,,,40,,
EUR,54,AUT,2018,Established,Nominated,Functioning with no budget,Established,144,None,,40,Provided,Provided to all laboratories,EUCAST,No data,,,40,,
EUR,54,AUT,2019,Established,Nominated,Functioning with no budget,Established,153,7,,50,Provided,Provided to all laboratories,EUCAST,142,0,,,,
EUR,,AUT,2020,Established,Nominated,"Yes, with budget",Established,,,142,,Provided,Provided to all laboratories,EUCAST,,,142,38,,
EUR,54,AZE,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,AZE,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,AZE,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,AZE,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,BDI,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,BDI,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,BDI,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,BDI,2020,Established,Nominated,"Yes, with budget",Established,4,3,7,,Provided,Not reported,CLSI,,,0,,,
EUR,54,BEL,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,BEL,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,BEL,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,BEL,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,BEN,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,BEN,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,BEN,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,BEN,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,BFA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,BFA,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,BFA,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,BFA,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
SEAR,11,BGD,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
SEAR,11,BGD,2018,Established,Nominated,Functioning with budget,Established,8,8,,8,Provided,Provided to some laboratories,CLSI,No data,,,,,
SEAR,11,BGD,2019,Established,Nominated,Functioning with budget,Established,8,8,,8,Provided,Provided to some laboratories,CLSI,,,8,,,
SEAR,,BGD,2020,Established,Nominated,"Yes, with budget",Established,8,8,0,,Provided,Provided to all laboratories,CLSI,8,8,0,8,,
EUR,54,BGR,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,BGR,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,BGR,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,BGR,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
EMR,22,BHR,2017,Established,Nominated,Functioning with no budget,Established,6,26,,1,Provided,Provided to all laboratories,CLSI,6,26,,,,
EMR,22,BHR,2018,Establishment in progress,Nominated,Functioning with no budget,Established,5,28,,1,Provided,Provided to all laboratories,CLSI,5,28,,,,
EMR,22,BHR,2019,Establishment in progress,Nominated,Functioning with no budget,Established,5,28,,1,Provided,Provided to all laboratories,CLSI,5,28,,,,
EMR,,BHR,2020,Established,Nominated,"Yes, with budget",Established,10,28,0,,Provided,Provided to some laboratories,CLSI,10,28,0,6,,
AMR/PAHO,35,BHS,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,BHS,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,BHS,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,BHS,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
EUR,54,BIH,2017,Establishment in progress,Not nominated,Not functioning,Not established,5,None,,5,Provided,Provided to some laboratories,EUCAST/CLSI,No data,,,5,,
EUR,54,BIH,2019,Establishment in progress,In progress,Not functioning,Not established,1,None,,1,Not reported,Not provided,EUCAST,1,0,,,357678,
EUR,,BIH,2020,Not established,Nominated,Unknown,Established,None,None,0,,Provided,Provided to all laboratories,EUCAST,,,0,,,
EUR,54,BLR,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,BLR,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,BLR,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,BLR,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AMR/PAHO,35,BLZ,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,BLZ,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,BLZ,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,BLZ,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AMR/PAHO,35,BOL,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
